source,filename,gender,race,type,age,leaf
E:\aninovel\input_images\female_anime_01_baby_toddler_01_r1c1.png,female_anime_01_baby_toddler_01_r1c1.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_02_r1c2.png,female_anime_01_baby_toddler_02_r1c2.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_03_r2c1.png,female_anime_01_baby_toddler_03_r2c1.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_04_r2c2.png,female_anime_01_baby_toddler_04_r2c2.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_05_r3c1.png,female_anime_01_baby_toddler_05_r3c1.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_06_r3c2.png,female_anime_01_baby_toddler_06_r3c2.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_07_r4c1.png,female_anime_01_baby_toddler_07_r4c1.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_08_r4c2.png,female_anime_01_baby_toddler_08_r4c2.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_09_r5c1.png,female_anime_01_baby_toddler_09_r5c1.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_10_r5c2.png,female_anime_01_baby_toddler_10_r5c2.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_11_r6c1.png,female_anime_01_baby_toddler_11_r6c1.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_12_r6c2.png,female_anime_01_baby_toddler_12_r6c2.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_13_r7c1.png,female_anime_01_baby_toddler_13_r7c1.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_baby_toddler_14_r7c2.png,female_anime_01_baby_toddler_14_r7c2.png,Female,Japanese,Anime,Baby,Female\Japanese_Anime\Baby
E:\aninovel\input_images\female_anime_01_Sakuraba_Ran_桜庭蘭.png,female_anime_01_Sakuraba_Ran_桜庭蘭.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_01_Sakurai_Misaki_桜井美咲.png,female_anime_01_Sakurai_Misaki_桜井美咲.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_02_Shiraishi_Anna_白石杏奈.png,female_anime_02_Shiraishi_Anna_白石杏奈.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_02_Shiraishi_Misaki_白石美咲.png,female_anime_02_Shiraishi_Misaki_白石美咲.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_03_Aizawa_Yui_愛沢由衣.png,female_anime_03_Aizawa_Yui_愛沢由衣.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_03_Takamine_Riko_高嶺莉子.png,female_anime_03_Takamine_Riko_高嶺莉子.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_04_Hoshino_Ai_星野愛.png,female_anime_04_Hoshino_Ai_星野愛.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_04_Takanashi_Riko_高梨莉子.png,female_anime_04_Takanashi_Riko_高梨莉子.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_01_r1c1.png,female_anime_05_college_01_r1c1.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_02_r1c2.png,female_anime_05_college_02_r1c2.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_03_r2c1.png,female_anime_05_college_03_r2c1.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_04_r2c2.png,female_anime_05_college_04_r2c2.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_05_r3c1.png,female_anime_05_college_05_r3c1.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_06_r3c2.png,female_anime_05_college_06_r3c2.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_07_r4c1.png,female_anime_05_college_07_r4c1.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_08_r4c2.png,female_anime_05_college_08_r4c2.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_09_r5c1.png,female_anime_05_college_09_r5c1.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_10_r5c2.png,female_anime_05_college_10_r5c2.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_11_r6c1.png,female_anime_05_college_11_r6c1.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_12_r6c2.png,female_anime_05_college_12_r6c2.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_13_r7c1.png,female_anime_05_college_13_r7c1.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_college_14_r7c2.png,female_anime_05_college_14_r7c2.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_Hoshino_Mahiru_星野真昼.png,female_anime_05_Hoshino_Mahiru_星野真昼.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_05_Kobayashi_Chihiro_小林千尋.png,female_anime_05_Kobayashi_Chihiro_小林千尋.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_06_Suzumiya_Yui_涼宮結衣.png,female_anime_06_Suzumiya_Yui_涼宮結衣.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_06_Takanashi_Tsumugi_小鳥遊紬.png,female_anime_06_Takanashi_Tsumugi_小鳥遊紬.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_07_Momoi_Haruna_桃井陽菜.png,female_anime_07_Momoi_Haruna_桃井陽菜.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_07_Suzumiya_Mio_涼宮澪.png,female_anime_07_Suzumiya_Mio_涼宮澪.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_08_Ichijo_Yukino_一条雪乃.png,female_anime_08_Ichijo_Yukino_一条雪乃.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_08_Momoi_Sakura_桃井さくら.png,female_anime_08_Momoi_Sakura_桃井さくら.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_09_Tachibana_Hinata_橘ひなた.png,female_anime_09_Tachibana_Hinata_橘ひなた.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_09_Tachibana_Kaori_橘香織.png,female_anime_09_Tachibana_Kaori_橘香織.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_10_Kagurazaka_Shizuku_神楽坂雫.png,female_anime_10_Kagurazaka_Shizuku_神楽坂雫.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_10_Kanzaki_Rina_神崎莉奈.png,female_anime_10_Kanzaki_Rina_神崎莉奈.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_11_Nanase_Aoi_七瀬葵.png,female_anime_11_Nanase_Aoi_七瀬葵.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_11_Nanase_Kotone_七瀬琴音.png,female_anime_11_Nanase_Kotone_七瀬琴音.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_12_Amano_Chihiro_天野千尋.png,female_anime_12_Amano_Chihiro_天野千尋.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_12_Saotome_Moe_早乙女萌.png,female_anime_12_Saotome_Moe_早乙女萌.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_13_Amano_Mizuki_天野美月.png,female_anime_13_Amano_Mizuki_天野美月.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_13_Saotome_Yuna_早乙女優菜.png,female_anime_13_Saotome_Yuna_早乙女優菜.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_14_Hojo_Sara_北条紗良.png,female_anime_14_Hojo_Sara_北条紗良.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_14_Kitagawa_Sae_北川紗英.png,female_anime_14_Kitagawa_Sae_北川紗英.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_15_Miura_Aika_三浦愛華.png,female_anime_15_Miura_Aika_三浦愛華.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_15_Miura_Hinata_三浦ひなた.png,female_anime_15_Miura_Hinata_三浦ひなた.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_16_Kurokawa_Risa_黒川理沙.png,female_anime_16_Kurokawa_Risa_黒川理沙.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_16_Kurokawa_Shiori_黒川詩織.png,female_anime_16_Kurokawa_Shiori_黒川詩織.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_17_Kazama_Reina_風間玲奈.png,female_anime_17_Kazama_Reina_風間玲奈.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_17_Yukishiro_Rin_雪城凛.png,female_anime_17_Yukishiro_Rin_雪城凛.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_18_Ichijo_Ruri_一条瑠璃.png,female_anime_18_Ichijo_Ruri_一条瑠璃.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_18_Mizuno_Ami_水野亜美.png,female_anime_18_Mizuno_Ami_水野亜美.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_19_Hanamaki_An_花巻杏.png,female_anime_19_Hanamaki_An_花巻杏.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_19_Hanamura_Azusa_花村梓.png,female_anime_19_Hanamura_Azusa_花村梓.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
