leaf,part,count
Female\Asian_Anime\Adult,,9
Female\Asian_Anime\YoungAdult,,4
Female\Asian_Painterly\Adult,,7
Female\Asian_Painterly\Child,,2
Female\Asian_Painterly\MiddleAge,,4
Female\Asian_Painterly\Teen,,5
Female\Asian_Painterly\YoungAdult,,8
Female\Asian_Photo\Adult,,23
Female\Asian_Photo\Baby,,11
Female\Asian_Photo\Child,,9
Female\Asian_Photo\Senior,,3
Female\Asian_Photo\Teen,,14
Female\Asian_Photo\YoungAdult,,11
Female\Asian_RetroManga\Adult,,11
Female\Asian_RetroManga\YoungAdult,,1
Female\Black_Anime\Adult,,1
Female\Black_Anime\YoungAdult,,3
Female\Black_Painterly\Adult,,1
Female\Black_Painterly\YoungAdult,,7
Female\Black_Photo\Adult,,1
Female\Black_Photo\YoungAdult,,3
Female\Black_RetroManga\Adult,,1
Female\Hispanic_Anime\Adult,,2
Female\Hispanic_Anime\YoungAdult,,5
Female\Hispanic_Painterly\Adult,,6
Female\Hispanic_Painterly\MiddleAge,,3
Female\Hispanic_Painterly\YoungAdult,,10
Female\Hispanic_Photo\Adult,,1
Female\Hispanic_Photo\Senior,,1
Female\Hispanic_Photo\Teen,,1
Female\Hispanic_Photo\YoungAdult,,1
Female\Hispanic_RetroManga\Adult,,1
Female\Hispanic_RetroManga\YoungAdult,,3
Female\Japanese_Anime\Adult,part01,60
Female\Japanese_Anime\Adult,part02,3
Female\Japanese_Anime\Baby,,14
Female\Japanese_Anime\Child,,14
Female\Japanese_Anime\Senior,,21
Female\Japanese_Anime\Teen,,28
Female\Japanese_Anime\YoungAdult,part01,60
Female\Japanese_Anime\YoungAdult,part02,14
Female\Japanese_RetroManga\Child,,30
Female\MiddleEastern_Anime\Adult,,5
Female\MiddleEastern_Anime\YoungAdult,,14
Female\MiddleEastern_Painterly\Adult,,4
Female\MiddleEastern_Painterly\MiddleAge,,1
Female\MiddleEastern_Painterly\Teen,,1
Female\MiddleEastern_Painterly\YoungAdult,,19
Female\MiddleEastern_Photo\Adult,,9
Female\MiddleEastern_Photo\Senior,,2
Female\MiddleEastern_Photo\YoungAdult,,1
Female\MiddleEastern_RetroManga\Adult,,1
Female\MiddleEastern_RetroManga\YoungAdult,,16
Female\SouthAsian_Painterly\YoungAdult,,2
Female\SouthAsian_Photo\Senior,,1
Female\White_Anime\Adult,part01,60
Female\White_Anime\Adult,part02,31
Female\White_Anime\MiddleAge,,1
Female\White_Anime\Teen,,3
Female\White_Anime\YoungAdult,part01,60
Female\White_Anime\YoungAdult,part02,14
Female\White_Painterly\Adult,part01,60
Female\White_Painterly\Adult,part02,60
Female\White_Painterly\Adult,part03,47
Female\White_Painterly\Child,,4
Female\White_Painterly\MiddleAge,,59
Female\White_Painterly\Senior,,3
Female\White_Painterly\Teen,,47
Female\White_Painterly\YoungAdult,part01,60
Female\White_Painterly\YoungAdult,part02,60
Female\White_Painterly\YoungAdult,part03,58
Female\White_Pastel\YoungAdult,,8
Female\White_Photo\Adult,,51
Female\White_Photo\Baby,,5
Female\White_Photo\Child,,7
Female\White_Photo\MiddleAge,,3
Female\White_Photo\Senior,,17
Female\White_Photo\Teen,,27
Female\White_Photo\YoungAdult,,54
Female\White_RetroManga\Adult,,54
Female\White_RetroManga\MiddleAge,,1
Female\White_RetroManga\Teen,,1
Female\White_RetroManga\YoungAdult,,54
Female\White_Watercolor\Adult,,11
Female\White_Watercolor\MiddleAge,,3
Female\White_Watercolor\YoungAdult,,4
Male\Asian_Anime\Adult,,1
Male\Asian_Anime\Teen,,2
Male\Asian_Anime\YoungAdult,,5
Male\Asian_Painterly\Adult,,5
Male\Asian_Painterly\Child,,1
Male\Asian_Painterly\MiddleAge,,2
Male\Asian_Painterly\Teen,,2
Male\Asian_Painterly\YoungAdult,,12
Male\Asian_Pastel\Adult,,1
Male\Asian_Photo\Adult,,7
Male\Asian_Photo\Baby,,17
Male\Asian_Photo\Child,,17
Male\Asian_Photo\Senior,,9
Male\Asian_Photo\Teen,,5
Male\Asian_Photo\YoungAdult,,7
Male\Asian_RetroManga\Adult,,1
Male\Asian_RetroManga\Child,,1
Male\Asian_RetroManga\Teen,,2
Male\Asian_RetroManga\YoungAdult,,2
Male\Black_Anime\YoungAdult,,5
Male\Black_Painterly\YoungAdult,,13
Male\Black_Photo\Senior,,1
Male\Black_Photo\YoungAdult,,2
Male\Hispanic_Anime\YoungAdult,,2
Male\Hispanic_Painterly\Adult,,1
Male\Hispanic_Painterly\Child,,3
Male\Hispanic_Painterly\Teen,,1
Male\Hispanic_Painterly\YoungAdult,,4
Male\Hispanic_Photo\Adult,,5
Male\Hispanic_Photo\YoungAdult,,2
Male\Hispanic_Watercolor\Adult,,1
Male\Japanese_Anime\Adult,part01,60
Male\Japanese_Anime\Adult,part02,12
Male\Japanese_Anime\Baby,,16
Male\Japanese_Anime\Child,,16
Male\Japanese_Anime\Senior,,24
Male\Japanese_Anime\Teen,,32
Male\Japanese_Anime\YoungAdult,part01,60
Male\Japanese_Anime\YoungAdult,part02,16
Male\Japanese_RetroManga\Child,,30
Male\MiddleEastern_Anime\Adult,,4
Male\MiddleEastern_Anime\Teen,,2
Male\MiddleEastern_Anime\YoungAdult,,28
Male\MiddleEastern_Painterly\Adult,,23
Male\MiddleEastern_Painterly\MiddleAge,,10
Male\MiddleEastern_Painterly\Teen,,2
Male\MiddleEastern_Painterly\YoungAdult,,25
Male\MiddleEastern_Photo\Adult,,54
Male\MiddleEastern_Photo\Senior,,12
Male\MiddleEastern_Photo\YoungAdult,,2
Male\MiddleEastern_RetroManga\Adult,,9
Male\MiddleEastern_RetroManga\Child,,1
Male\MiddleEastern_RetroManga\YoungAdult,,25
